task,modality,comparison_model_id,comparison_representation,requested_n,median_effective_n,median_delta,central_95_low,central_95_high,central_95_width,sign_consistency,valid_repeats
BBBP,molecule,chemberta_zinc,ChemBERTa-ZINC,50,50,-0.0139,-0.0644,0.015,0.0795,0.7925,400
BBBP,molecule,chemberta_zinc,ChemBERTa-ZINC,51,51,-0.0153,-0.0674,0.0116,0.079,0.81,400
BBBP,molecule,chemberta_zinc,ChemBERTa-ZINC,100,100,-0.0169,-0.0422,0.0041,0.0463,0.92,400
BBBP,molecule,chemberta_zinc,ChemBERTa-ZINC,102,102,-0.0173,-0.0406,0.002,0.0426,0.945,400
BBBP,molecule,chemberta_zinc,ChemBERTa-ZINC,150,150,-0.0184,-0.0289,-0.0044,0.0245,0.995,400
BBBP,molecule,chemberta_zinc,ChemBERTa-ZINC,153,153,-0.0184,-0.0293,-0.0059,0.0234,0.9975,400
BBBP,molecule,molformer_xl,MoLFormer-XL,50,50,0.0,-0.0317,0.0357,0.0674,0.4675,400
BBBP,molecule,molformer_xl,MoLFormer-XL,51,51,-0.0015,-0.032,0.0296,0.0616,0.52,400
BBBP,molecule,molformer_xl,MoLFormer-XL,100,100,-0.0009,-0.0173,0.0148,0.032,0.525,400
BBBP,molecule,molformer_xl,MoLFormer-XL,102,102,-0.0012,-0.0156,0.0151,0.0307,0.54,400
BBBP,molecule,molformer_xl,MoLFormer-XL,150,150,-0.0004,-0.0092,0.0079,0.0171,0.52,400
BBBP,molecule,molformer_xl,MoLFormer-XL,153,153,0.0002,-0.0084,0.0092,0.0177,0.485,400
BBBP,molecule,grover_large,GROVER Large,50,50,0.0197,-0.0397,0.1003,0.14,0.725,400
BBBP,molecule,grover_large,GROVER Large,51,51,0.0229,-0.0321,0.0914,0.1235,0.805,400
BBBP,molecule,grover_large,GROVER Large,100,100,0.0205,-0.0085,0.0523,0.0607,0.915,400
BBBP,molecule,grover_large,GROVER Large,102,102,0.0208,-0.0098,0.0506,0.0604,0.915,400
BBBP,molecule,grover_large,GROVER Large,150,150,0.021,0.004,0.0364,0.0324,0.99,400
BBBP,molecule,grover_large,GROVER Large,153,153,0.0204,0.0027,0.0369,0.0342,0.9875,400
BBBP,molecule,rdkit2d,RDKit2D,50,50,0.0343,-0.025,0.1165,0.1415,0.8575,400
BBBP,molecule,rdkit2d,RDKit2D,51,51,0.0322,-0.0303,0.1118,0.1422,0.865,400
BBBP,molecule,rdkit2d,RDKit2D,100,100,0.031,-0.0033,0.0714,0.0747,0.95,400
BBBP,molecule,rdkit2d,RDKit2D,102,102,0.0342,0.0013,0.0684,0.0671,0.9775,400
BBBP,molecule,rdkit2d,RDKit2D,150,150,0.0328,0.0131,0.0544,0.0413,1.0,400
BBBP,molecule,rdkit2d,RDKit2D,153,153,0.0315,0.0125,0.0484,0.0359,1.0,400
BBBP,molecule,grover_base,GROVER Base,50,50,0.0338,-0.0145,0.1349,0.1494,0.8925,400
BBBP,molecule,grover_base,GROVER Base,51,51,0.0384,-0.0243,0.1163,0.1406,0.8725,400
BBBP,molecule,grover_base,GROVER Base,100,100,0.0353,0.0037,0.077,0.0733,0.99,400
BBBP,molecule,grover_base,GROVER Base,102,102,0.036,0.0038,0.0842,0.0804,0.9825,400
BBBP,molecule,grover_base,GROVER Base,150,150,0.0351,0.0142,0.0568,0.0426,1.0,400
BBBP,molecule,grover_base,GROVER Base,153,153,0.0362,0.0163,0.0548,0.0385,1.0,400
BBBP,molecule,ecfp4,ECFP4,50,50,0.0399,-0.0268,0.1649,0.1917,0.875,400
BBBP,molecule,ecfp4,ECFP4,51,51,0.0392,-0.032,0.1565,0.1885,0.8575,400
BBBP,molecule,ecfp4,ECFP4,100,100,0.039,-0.0029,0.0909,0.0939,0.965,400
BBBP,molecule,ecfp4,ECFP4,102,102,0.0416,-0.0,0.0924,0.0924,0.975,400
BBBP,molecule,ecfp4,ECFP4,150,150,0.0419,0.0173,0.0692,0.0519,1.0,400
BBBP,molecule,ecfp4,ECFP4,153,153,0.0414,0.0148,0.0676,0.0528,1.0,400
BBBP,molecule,unimol_v1,Uni-Mol v1,50,50,0.053,-0.0249,0.1382,0.1631,0.9125,400
BBBP,molecule,unimol_v1,Uni-Mol v1,51,51,0.0486,-0.0121,0.1396,0.1517,0.925,400
BBBP,molecule,unimol_v1,Uni-Mol v1,100,100,0.0455,0.0096,0.0869,0.0773,0.99,400
BBBP,molecule,unimol_v1,Uni-Mol v1,102,102,0.0445,0.0111,0.0905,0.0794,0.995,400
BBBP,molecule,unimol_v1,Uni-Mol v1,150,150,0.0459,0.0245,0.0672,0.0427,1.0,400
BBBP,molecule,unimol_v1,Uni-Mol v1,153,153,0.0467,0.0248,0.0657,0.0409,1.0,400
BBBP,molecule,molclr_gin,MolCLR GIN,50,50,0.0747,0.0099,0.1959,0.186,0.99,400
BBBP,molecule,molclr_gin,MolCLR GIN,51,51,0.0742,0.0045,0.1689,0.1644,0.975,400
BBBP,molecule,molclr_gin,MolCLR GIN,100,100,0.0693,0.0305,0.1306,0.1001,1.0,400
BBBP,molecule,molclr_gin,MolCLR GIN,102,102,0.071,0.029,0.1249,0.0959,1.0,400
BBBP,molecule,molclr_gin,MolCLR GIN,150,150,0.0692,0.047,0.0982,0.0513,1.0,400
BBBP,molecule,molclr_gin,MolCLR GIN,153,153,0.0698,0.0474,0.0957,0.0483,1.0,400
ClinTox,molecule,chemberta_77m,ChemBERTa-77M,37,37,0.0,-0.02,0.059,0.079,0.3643,387
ClinTox,molecule,chemberta_77m,ChemBERTa-77M,50,50,0.0,-0.0089,0.044,0.0529,0.5089,395
ClinTox,molecule,chemberta_77m,ChemBERTa-77M,74,74,0.0062,-0.0029,0.029,0.0319,0.805,400
ClinTox,molecule,chemberta_77m,ChemBERTa-77M,100,100,0.0088,-0.0,0.0223,0.0223,0.95,400
ClinTox,molecule,chemberta_77m,ChemBERTa-77M,111,111,0.0094,0.0012,0.0188,0.0176,0.985,400
ClinTox,molecule,molformer_xl,MoLFormer-XL,37,37,0.0,-0.0092,0.0862,0.0954,0.2931,389
ClinTox,molecule,molformer_xl,MoLFormer-XL,50,50,0.0,-0.0044,0.0733,0.0777,0.4307,397
ClinTox,molecule,molformer_xl,MoLFormer-XL,74,74,0.0137,-0.0025,0.0452,0.0476,0.6,400
ClinTox,molecule,molformer_xl,MoLFormer-XL,100,100,0.016,-0.0015,0.0295,0.031,0.71,400
ClinTox,molecule,molformer_xl,MoLFormer-XL,111,111,0.0155,-0.0008,0.0262,0.027,0.81,400
ClinTox,molecule,grover_large,GROVER Large,37,37,0.0714,0.0,0.2741,0.2741,0.9167,384
ClinTox,molecule,grover_large,GROVER Large,50,50,0.0866,0.0067,0.2128,0.2061,0.9823,396
ClinTox,molecule,grover_large,GROVER Large,74,74,0.0944,0.0208,0.1769,0.1561,0.995,400
ClinTox,molecule,grover_large,GROVER Large,100,100,0.0967,0.0371,0.1452,0.1081,1.0,400
ClinTox,molecule,grover_large,GROVER Large,111,111,0.0982,0.0501,0.1339,0.0838,1.0,400
ClinTox,molecule,grover_base,GROVER Base,37,37,0.0784,0.0,0.2266,0.2266,0.899,386
ClinTox,molecule,grover_base,GROVER Base,50,50,0.0909,0.0,0.2025,0.2025,0.9598,398
ClinTox,molecule,grover_base,GROVER Base,74,74,0.0956,0.0281,0.1694,0.1413,0.995,400
ClinTox,molecule,grover_base,GROVER Base,100,100,0.0968,0.0434,0.1392,0.0958,1.0,400
ClinTox,molecule,grover_base,GROVER Base,111,111,0.0986,0.057,0.1324,0.0753,1.0,400
ClinTox,molecule,rdkit2d,RDKit2D,37,37,0.1215,0.0041,0.3473,0.3432,0.9768,388
ClinTox,molecule,rdkit2d,RDKit2D,50,50,0.1312,0.0,0.2869,0.2869,0.9724,399
ClinTox,molecule,rdkit2d,RDKit2D,74,74,0.1282,0.0205,0.2421,0.2216,0.995,400
ClinTox,molecule,rdkit2d,RDKit2D,100,100,0.1312,0.0654,0.1924,0.127,1.0,400
ClinTox,molecule,rdkit2d,RDKit2D,111,111,0.1339,0.0727,0.1941,0.1213,1.0,400
ClinTox,molecule,ecfp4,ECFP4,37,37,0.1029,0.0,0.4472,0.4472,0.9241,395
ClinTox,molecule,ecfp4,ECFP4,50,50,0.1367,0.0077,0.3555,0.3478,0.9848,394
ClinTox,molecule,ecfp4,ECFP4,74,74,0.1388,0.0114,0.2631,0.2517,0.9975,400
ClinTox,molecule,ecfp4,ECFP4,100,100,0.1397,0.0409,0.2139,0.173,1.0,400
ClinTox,molecule,ecfp4,ECFP4,111,111,0.141,0.0434,0.1989,0.1555,1.0,400
ClinTox,molecule,unimol_v1,Uni-Mol v1,37,37,0.2973,0.0,0.8286,0.8286,0.9711,381
ClinTox,molecule,unimol_v1,Uni-Mol v1,50,50,0.3181,0.0208,0.6094,0.5886,0.9975,396
ClinTox,molecule,unimol_v1,Uni-Mol v1,74,74,0.3144,0.0926,0.5174,0.4248,1.0,400
ClinTox,molecule,unimol_v1,Uni-Mol v1,100,100,0.3069,0.1631,0.4327,0.2696,1.0,400
ClinTox,molecule,unimol_v1,Uni-Mol v1,111,111,0.3088,0.1669,0.419,0.2521,1.0,400
BACE,molecule,ecfp4,ECFP4,38,39,-0.059,-0.1917,0.0418,0.2335,0.8625,400
BACE,molecule,ecfp4,ECFP4,50,51,-0.062,-0.1744,0.0256,0.2,0.9075,400
BACE,molecule,ecfp4,ECFP4,76,77,-0.0641,-0.1309,0.0007,0.1316,0.9725,400
BACE,molecule,ecfp4,ECFP4,100,101,-0.0651,-0.104,-0.0147,0.0893,0.9975,400
BACE,molecule,ecfp4,ECFP4,114,115,-0.0673,-0.0988,-0.0165,0.0823,1.0,400
BACE,molecule,ecfp4,ECFP4,150,150,-0.0644,-0.0706,-0.059,0.0116,1.0,400
BACE,molecule,grover_base,GROVER Base,38,39,-0.0412,-0.18,0.0445,0.2245,0.7975,400
BACE,molecule,grover_base,GROVER Base,50,51,-0.0551,-0.1526,0.0292,0.1818,0.88,400
BACE,molecule,grover_base,GROVER Base,76,77,-0.0613,-0.1296,0.0043,0.1338,0.955,400
BACE,molecule,grover_base,GROVER Base,100,101,-0.0593,-0.0987,-0.0079,0.0908,0.99,400
BACE,molecule,grover_base,GROVER Base,114,115,-0.0599,-0.0908,-0.0175,0.0733,1.0,400
BACE,molecule,grover_base,GROVER Base,150,150,-0.0585,-0.0626,-0.0523,0.0104,1.0,400
BACE,molecule,grover_large,GROVER Large,38,39,-0.0392,-0.1762,0.0525,0.2287,0.765,400
BACE,molecule,grover_large,GROVER Large,50,51,-0.0515,-0.1471,0.0357,0.1828,0.8625,400
BACE,molecule,grover_large,GROVER Large,76,77,-0.0522,-0.1179,0.0081,0.126,0.94,400
BACE,molecule,grover_large,GROVER Large,100,100,-0.056,-0.094,-0.0085,0.0855,0.995,400
BACE,molecule,grover_large,GROVER Large,114,115,-0.0559,-0.086,-0.021,0.065,1.0,400
BACE,molecule,grover_large,GROVER Large,150,150,-0.0553,-0.0605,-0.0496,0.0109,1.0,400
BACE,molecule,chemberta_77m,ChemBERTa-77M,38,39,0.0145,-0.1415,0.1112,0.2526,0.435,400
BACE,molecule,chemberta_77m,ChemBERTa-77M,50,51,-0.0073,-0.1213,0.1015,0.2228,0.5575,400
BACE,molecule,chemberta_77m,ChemBERTa-77M,76,77,-0.0086,-0.0805,0.0509,0.1314,0.6,400
BACE,molecule,chemberta_77m,ChemBERTa-77M,100,101,-0.0105,-0.0579,0.0346,0.0925,0.68,400
BACE,molecule,chemberta_77m,ChemBERTa-77M,114,115,-0.0141,-0.0451,0.0266,0.0716,0.7275,400
BACE,molecule,chemberta_77m,ChemBERTa-77M,150,150,-0.0126,-0.0204,-0.0084,0.0121,1.0,400
BACE,molecule,rdkit2d,RDKit2D,38,39,0.0048,-0.1514,0.1396,0.291,0.4725,400
BACE,molecule,rdkit2d,RDKit2D,50,51,0.0005,-0.1406,0.1379,0.2785,0.4925,400
BACE,molecule,rdkit2d,RDKit2D,76,77,-0.0037,-0.0853,0.0918,0.1771,0.5325,400
BACE,molecule,rdkit2d,RDKit2D,100,101,-0.0111,-0.0601,0.0651,0.1252,0.6125,400
BACE,molecule,rdkit2d,RDKit2D,114,115,-0.0083,-0.0466,0.0575,0.1041,0.6125,400
BACE,molecule,rdkit2d,RDKit2D,150,150,-0.0053,-0.0126,0.0002,0.0128,0.9675,400
BACE,molecule,molclr_gin,MolCLR GIN,38,39,0.0149,-0.1183,0.1123,0.2306,0.5975,400
BACE,molecule,molclr_gin,MolCLR GIN,50,51,0.0135,-0.0857,0.1015,0.1872,0.6375,400
BACE,molecule,molclr_gin,MolCLR GIN,76,77,0.01,-0.0684,0.0711,0.1396,0.595,400
BACE,molecule,molclr_gin,MolCLR GIN,100,101,0.0061,-0.04,0.0507,0.0907,0.59,400
